Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,Омеляновича-Павленка,6.0
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,Омеляновича-Павленка,37.0
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,37.0,14.0,Ованеса Туманяна,47.0
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,10.0
82000.0,2.0,1281.0,18.0,26.0,2009.0,64.0,37.0,14.0,Дніпровська,13.0
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,35.0
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,37.0,14.0,Івана Мазепи,257.0
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,22.0
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,14.0
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,37.0,14.0,Новодарницька,41.0
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,0.0
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,Липківського,15.0
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,Бендукідзе,49.0
65000.0,1.0,2600.0,1.0,3.0,2009.0,25.0,20.0,3.0,Введенська,2.0
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,37.0,14.0,Виноградний,0.0
48000.0,1.0,849.0,22.0,25.0,2009.0,69.0,40.0,10.0,Кайсарова,19.0
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,Ахматової,21.0
75000.0,3.0,1005.0,4.0,26.0,2009.0,69.0,37.0,14.0,Радченка,18.0
84000.0,2.0,1273.0,6.0,26.0,2009.0,66.0,37.0,18.0,Дніпровська,11.0
175000.0,1.0,1725.8,7.0,25.0,2012.0,69.0,37.0,14.0,Ділова,18.0
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,14.0,Бориспільська,12.0
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,16.0
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,Українки,27.0
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,Антонова,12.0
118000.0,2.0,1311.0,15.0,25.0,1959.0,90.0,41.0,13.0,Науки,36.0
159990.0,4.0,1437.0,6.0,10.0,2016.0,69.0,37.0,30.0,Метрологічна,2.0
85000.0,3.0,1417.0,2.0,5.0,1961.0,60.0,44.0,6.0,Дружби Народів,10.0
155022.2,1.0,2541.3,8.0,18.0,2009.0,61.0,37.0,14.0,Дружби Народів,10.0
590000.0,3.0,5900.0,8.0,18.0,2009.0,100.0,37.0,14.0,Драгомирова,49.0
84000.0,2.0,1333.0,2.0,16.0,2016.0,63.0,32.0,15.0,Данченка,16.0
35000.0,2.0,778.0,1.0,2.0,2009.0,45.0,37.0,14.0,Кримська,0.0
63000.0,2.0,969.0,4.0,25.0,2009.0,65.0,31.0,13.0,Новопольова,21.0
40000.0,2.0,870.0,3.0,5.0,1963.0,46.0,30.0,8.0,Туполєва,8.0
42654.8,1.0,1375.9,8.0,18.0,2009.0,31.0,37.0,14.0,Туполєва,0.0
60000.0,1.0,1463.0,2.0,26.0,2009.0,41.0,37.0,14.0,Дніпровська,0.0
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,37.0,14.0,Перемоги,29.0
346500.0,2.0,4500.0,7.0,24.0,2019.0,77.0,38.0,20.0,Івана Федорова,19.0
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,Братиславська,4.0
10092.1,1.0,672.8,8.0,18.0,2009.0,15.0,37.0,14.0,Братиславська,0.0
29256.6,1.0,978.5,1.0,5.0,2009.0,69.0,37.0,14.0,Червоноткацька,18.0
166000.0,1.0,3532.0,2.0,9.0,2009.0,47.0,22.0,16.0,Златоустівська,9.0
115000.0,4.0,1369.0,5.0,9.0,1970.0,84.0,35.0,9.0,Бойченка,40.0
298000.0,3.0,2249.0,11.0,23.0,2016.0,69.0,37.0,14.0,Трускавецька,18.0
43100.0,1.0,1390.0,8.0,26.0,2018.0,31.0,16.0,5.0,Каховська,10.0
179900.0,4.0,1475.0,19.0,27.0,2010.0,122.0,37.0,14.0,Лобановського,71.0
96255.3,1.0,1504.0,8.0,18.0,2009.0,64.0,37.0,14.0,Лобановського,13.0
56500.0,3.0,926.0,6.0,9.0,1970.0,61.0,40.0,7.0,Курчатова,14.0
110000.0,1.0,1930.0,19.0,25.0,2008.0,57.0,37.0,14.0,Голосіївська,6.0
47000.0,1.0,1146.0,5.0,16.0,1990.0,41.0,10.0,16.0,Тираспольська,15.0
90000.0,2.0,2195.0,1.0,9.0,2009.0,41.0,28.0,6.0,Лаврська,7.0
44980.0,1.0,1249.0,19.0,25.0,2017.0,36.0,16.0,14.0,Правди,6.0
58000.0,4.0,921.0,5.0,9.0,1968.0,63.0,40.0,7.0,Миколайчука,16.0
63000.0,3.0,863.0,5.0,9.0,1982.0,73.0,41.0,9.0,Порика,23.0
136000.0,1.0,3022.0,6.0,23.0,2015.0,45.0,15.0,17.0,Маккейна,13.0
73860.0,2.0,1319.0,5.0,9.0,2009.0,56.0,30.0,9.0,Йорданська,17.0
160000.0,2.0,2712.0,18.0,24.0,2019.0,59.0,37.0,20.0,Тютюнника,2.0
135000.0,3.0,1588.0,8.0,10.0,2015.0,85.0,49.0,12.0,Регенераторна,24.0
120000.0,1.0,2400.0,12.0,23.0,2015.0,50.0,18.0,15.0,Зарічна,17.0
58990.0,1.0,1450.0,3.0,34.0,2009.0,69.0,16.0,10.0,Заболотного,43.0
90000.0,4.0,1059.0,4.0,10.0,1994.0,85.0,37.0,14.0,Курнатовського,34.0
187000.0,3.0,1550.0,2.0,5.0,1934.0,69.0,37.0,14.0,Інститутська,18.0
88000.0,2.0,1222.0,16.0,25.0,2020.0,72.0,37.0,15.0,Маланюка,20.0
102000.0,2.0,1619.0,10.0,16.0,2019.0,63.0,26.0,22.0,Гречка,15.0
110000.0,1.0,1833.0,14.0,24.0,2018.0,60.0,21.0,15.0,Липківського,24.0
160000.0,2.0,3077.0,3.0,24.0,2015.0,52.0,13.0,18.0,Маккейна,21.0
225000.0,5.0,1500.0,23.0,24.0,2008.0,150.0,78.0,18.0,Григоренка,54.0
75000.0,2.0,1562.0,4.0,9.0,1966.0,48.0,30.0,7.0,Коновальця,11.0
59860.0,3.0,798.0,3.0,9.0,2009.0,75.0,40.0,9.0,Закревського,26.0
43161.0,2.0,732.0,13.0,18.0,2009.0,59.0,30.0,16.0,Закревського,13.0
140000.0,2.0,1842.0,13.0,18.0,1991.0,76.0,39.0,14.0,Старонаводницька,23.0
